Код ОКВЭД,Наименование
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
B,Добыча полезных ископаемых
C,Обрабатывающие производства
D,"Обеспечение электроэнергией, газом и паром"
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"
F,Строительство
G,Оптовая и розничная торговля; ремонт автотранспортных средств и мотоциклов
H,Транспортировка и хранение
I,Деятельность гостиниц и предприятий общественного питания
J,Деятельность в области информации и связи
K,Деятельность финансовая и страховая
L,Операции с недвижимым имуществом
M,"Деятельность профессиональная, научная и техническая"
N,Деятельность административная и сопутствующие дополнительные услуги
O,Государственное управление и обеспечение военной безопасности; социальное обеспечение
P,Образование
Q,Здравоохранение и социальные услуги
R,"Искусство, развлечения и отдых"
S,Предоставление прочих видов услуг
